Code,species,Seed ID,Source code,Client,Project,Removed,Cleaned,Seedlot notes,100 sd wt (g),Seed per g,Available g,Stored g,Reserved g,100 sd wt (lb),Seed per lb,Available lb,Stored lb,Reserved lb,Available Sd,Stored Sd,Reserved Sd,Purity,Fill,Viability (TZ),Germ,Moisture,Est. PLS,Ecoregion,Prov. SZ,Tracking ID,date_collected,Site Name,Elevation,Latitude,Longitude,Forest/Park (near),Collection Notes,Last used date,Last action,Last used wt (g),Last used wt (lb),Last used project,FLAP,BSE
CACA9,Carex californica,CACA9-RST-MARYSPEAK-2020-2,CACA9-RST-3035/<2-G0-4000-MARYSPEAK-20-2,RST,Mary's Peak,FALSE,TRUE,[appended source code CACA9-RST-3035/<2-G0-4000-MARYSPEAK-20 to make unique],0.34,294.12,18.11,18.11,0,0.00075,,0.039926,0.039926,0,5327,5326,0,100,54,,,,2877,,30-35/<2,,1-Jan-20,,4000,44.503657,-123.552784,Siuslaw,!imported; ,5/5/2024,import,-0.07,,,FALSE,0
CACA9,Carex californica,CACA9-RST-MARYSPEAK-2020-1,CACA9-RST-3035/<2-G0-4000-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.4,250,6.19,6.19,0,0.000882,,0.013647,0.013647,0,1548,1547,0,100,73,,,,1130,,30-35/<2,,1-Jan-20,,4000,44.503657,-123.552784,Siuslaw,!imported; ,5/5/2024,import,-0.02,,,FALSE,0
CACA9,Carex californica,CACA9-MARYSPEAK-19-1,CACA9-RST-3035/ <2- G0-3880-MARYSPEAK-19,RST,Mary's Peak,FALSE,TRUE,,0.38,263.16,14.78,14.78,0,0.000838,,0.032584,0.032584,0,3890,3889,0,,84,,,,3268,,30-35/<2,,1-Jan-19,,3800,,,Siuslaw,!imported; ,2019,add (store),14.78,,,FALSE,0
CACU5,Carex cusickii,RST-WIL16-02,CACU5-RST-FS-30-35/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.04,2500,0,34.59,34.59,0.000088,,0,0.076258,0.076258,0,86475,86475,,90,,,,0,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-16.394,,,FALSE,0
CAIL,Carex illota,fhwa-0609-20,cail-fhwa06-661-06-100-36/42-09,RST,Unassigned - RST,FALSE,TRUE,,0.02,5000,0,91.74,91.74,0.000044,,0,0.202252,0.202252,0,458700,458700,,92,,,,0,,,,1-Jan-09,,,,,Mt. Hood,!imported; ,2009,add (store),91.74,,,FALSE,0
CAIL,Carex illota,fhwa-0610-18,cail-fhwa06-661-06-100-34/42-hwy 35- 10,RST,HWY 35,FALSE,TRUE,,0.03,3333.33,0,84.09,84.09,0.000066,,0,0.185387,0.185387,0,280299,280300,97,93,,,,0,,20-25/<2,,1-Jan-10,,3500,,,Mt. Hood,!imported; ,2010,add (store),84.09,,,FALSE,0
CALE8,Carex lenticularis,FHWA-0610-09,CALE8-06-661-06-100-43-FHWA-HW35-10,RST,HWY 35,FALSE,TRUE,,0.04,2500,0,5.73,5.73,0.000088,,0,0.012632,0.012632,0,14325,14325,99,95,,,,0,,20-25/<2,,1-Jan-10,,4100,,,Mt. Hood,!imported; ,5/5/2024,import,-2.43,,,FALSE,0
CAOB3,Carex obnupta,CAOB3-RST-CAPEMEARES-22-1,CAOB3-RST-40-45<2-G0-0015-CAPEMEARES-22-1,RST,Cape Meares,FALSE,TRUE,,0.07,1428.57,51.12,51.12,0,0.000154,,0.1127,0.1127,0,73028,73028,0,,20,,,,14606,,40-45/<2,,1-Jan-22,,15,,,Cape Meares,!imported; ,2022,add (store),51.12,,,FALSE,0
CAOB3,Carex obnupta,CAOB3-RST-CAPEMEARES-22-2,CAOB3-RST-35-40<2-G0-0200-CAPEMEARES-22-2,RST,Cape Meares,FALSE,TRUE,,0.06,1666.67,23.61,23.61,0,0.000132,,0.052051,0.052051,0,39350,39350,0,99,2,,,,787,,35-40/<2,,1-Jan-22,,200,45.326973,-123.944783,Cape Meares,!imported; ,5/5/2024,import,-0.05,,,FALSE,0
CAOB3,Carex obnupta,RST-WIL16-04,CAOB3RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.11,909.09,9.35,9.35,0,0.000243,,0.020613,0.020613,0,8500,8499,0,,,,,,,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-8.901,,,FALSE,0
CAST5,Carex stipata,RST-WFL13-12,CAST5-RST/WFL-2530/481000-G0-SUIATTLE-13,RST,Suiattle,FALSE,TRUE,,0.063,1587.3,0.55,0.55,0,0.000139,,0.001213,0.001213,0,873,873,0,99,98,,,,856,,25-30/<2,,1-Jan-13,,4800,,,,!imported; ,2013,add (store),0.55,,,FALSE,0
CAST5,Carex stipata,RST-WFL14-03,CAST5-RSTWFL-2530/48-100-G0-SUIATTLE-14,RST,Suiattle,FALSE,TRUE,,0.06,1666.67,7.82,7.82,0,0.000132,,0.01724,0.01724,0,13033,13033,0,98,98,,,,12772,,25-30/<2,,1-Jan-14,,,,,,!imported; ,5/5/2024,import,-2.43,,,FALSE,0
CAHI9,Castilleja hispida,CAHI9-RST-MARYSPK-23-1,CAHI-RST-3035/<2-G0-4028-MARYSPK-23-1,RST,Mary's Peak,FALSE,TRUE,,0.014,7142.86,1.581,1.581,0,0.000031,,0.003486,0.003486,0,11293,11292,0,,84,,,,9486,,30-35/<2,,1-Jan-23,,4028,44.503713,-123.55196,,!imported; ,2/25/2025,strat/sow,-0.232,,Mary's Peak,FALSE,0
CAPR14,Castilleja pruinosa,CAPR-06-2017-1,CAPR-RST-2025/<2-G0-HWY35-17,RST,HWY 35,FALSE,TRUE,,0.009,11111.11,0,0.61,0.61,0.00002,,0,0.001345,0.001345,0,6777,6778,50,50,,,,0,,20-25/<2,,1-Jan-17,,4100,,,Mt. Hood,!imported; ,5/5/2024,import,-0.02,,,FALSE,0
CEANO,Ceanothus,CEAN-RST-2025/3-6-G0-2008,CEAN-RST-2025/3-6-G0-2008,RST,Sunriver,FALSE,TRUE,,0.39,256.41,632.55,632.55,0,0.00086,,1.394534,1.394534,0,162192,162192,0,,,,,,,,20-25/3-6,,1-Jan-08,,4100,,,Deschutes,!imported; ,5/5/2024,import,-657.45,,,FALSE,0
CEIN3,Ceanothus integerrimus,CEIN3-15-2011-1,Tiller ReRoute,RST,Tiller ReRoute,FALSE,TRUE,,0.633,157.98,40.502,40.502,0,0.001396,,0.089292,0.089292,0,6399,6398,0,,,,,,,,30-35/2-3,,1-Jan-11,,1000,,,Umpqua,!imported; ,5/5/2024,import,-0.77,,,FALSE,0
CEVE,Ceanothus velutinus,CEVE-RST-KLAMATHHWY-23-1,CEVE-RST-2025/3-6-G0-4333-KLAMATHHWYFLAP-23-1,RST,Klamath HWY,FALSE,TRUE,,0.404,247.52,9.287,9.287,0,0.000891,,0.020474,0.020474,0,2299,2298,0,,68,,,,1563,,20-25/3-6,,1-Jan-23,,4334,42.326231,-121.949855,,!imported; ,1/14/2025,strat/sow,-0.36,,Klamath County,FALSE,0
CEVE,Ceanothus velutinus,CEVE-2-2018-1,CEVE-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,0.33,303.03,5.59,5.59,0,0.000728,,0.012324,0.012324,0,1694,1693,0,,39,,,,661,,20-25/3-6,,1-Jan-18,,4300,,,Fremont,!imported; ,5/5/2024,import,-0.95,,,FALSE,0
CEVE,Ceanothus velutinus,0108-13,CEVE-01-681-01-100-50-41ROAD-08,RST,HWY 97,FALSE,TRUE,,0.43,232.56,71.42,71.42,0,0.000948,,0.157454,0.157454,0,16609,16609,0,99,97,90,,,14948,,,,1-Jan-08,,,,,Deschutes,!imported from SS; ,5/5/2024,import,-69.196,,,FALSE,0
CEMO2,Cercocarpus montanus,CEMO-2-2018-1,CEMO-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,2.4,41.67,8.95,8.95,0,0.005291,,0.019731,0.019731,0,373,372,0,,48,,,,179,,20-25/3-6,,1-Jan-18,,4250,42.227099,-121.797952,Fremont,!imported; ,5/5/2024,import,-5.08,,,FALSE,0
CHAN9,Chamerion angustifolium,Mt. Hood,Mt. Hood,RST,Mt. Hood (RST),FALSE,FALSE,,,,0,0,0,,,0,0,0,,,,,,,,,,,30-35/2-3,,1-Jan-18,,3000,,,Mt. Hood,!imported; ,2018,add (store),0,,,FALSE,0
CHVI8,Chrysothamnus viscidiflorus,0108-20,CHVIL4-01-482-01-100-44-18RD/OHV10-08,RST,HWY 97,FALSE,TRUE,,0.05,2000,29.65,29.65,0,0.00011,,0.065367,0.065367,0,59300,59300,0,71,88,85,,,50405,,,,1-Jan-08,,4400,,,Deschutes,!imported from SS; ,5/5/2024,import,-7.09,,,FALSE,0
CHVI8,Chrysothamnus viscidiflorus,FHWA-0111-28,CHVI8-01-675-01-100-48-SKYLINER-11,RST,Skyliner,FALSE,TRUE,,0.057,1754.39,0.87,0.87,0,0.000126,,0.001918,0.001918,0,1526,1526,0,99,90,,,,1373,,20-25/2-3,,1-Jan-11,,4500,,,Deschutes,!imported; ,5/5/2024,import,-0.037,,,FALSE,0
CHVI8,Chrysothamnus viscidiflorus,RST22-06,CHVI8-RST-2025/0306-G0-OR97-22,RST,HWY 97,FALSE,TRUE,,0.04,2500,4.01,4.01,0,0.000088,,0.008841,0.008841,0,10025,10025,0,84,87,,,,8722,,20-25/3-6,,1-Jan-22,,4500,,,Deschutes,!imported; ,5/5/2024,import,-1.029,,,FALSE,0
CLAM,Clarkia amoena,RST19-24,CLAM-RST-xx/xx-G1+-XX-HERITAGE-19,RST,Heritage,FALSE,TRUE,,0.03,3333.33,20.8,20.8,0,0.000066,,0.045856,0.045856,0,69333,69333,0,,99,,,,68640,,,,1-Jan-19,,,,,,!imported; ,2019,add (store),20.8,,,FALSE,0
CONU4,Cornus nuttallii,CONU4-18-2016-1,CONU-RST-3035<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,8.35,11.98,52.586,70.73,18.144,0.018409,,0.115932,0.155933,0.040001,630,847,217,,,,,,,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,2016,add (store),70.73,,,FALSE,0
COSE16,Cornus sericea,COSE16-2018-1,COSE16-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,1.81,55.25,55.44,55.44,0,0.00399,,0.122224,0.122224,0,3063,3063,0,,21,,,,643,,20-25/3-6,,1-Jan-18,,4300,42.54,-121.942777,Fremont,!imported; ,1/14/2025,strat/sow,-10.86,,Klamath County,FALSE,0
CRDO2,Crataegus douglasii,RST-FHWA14-06,CRDO2-RST-FHWA-1520/3-6G0-BANKSLOW-14,RST,Banks to Lowman,FALSE,TRUE,,2.79,35.84,80.16,80.16,0,0.006151,,0.176723,0.176723,0,2873,2872,0,99,95,,,,2729,,15-20/3-6,,1-Jan-14,,,,,Umatilla,!imported; ,5/5/2024,import,-11.47,,,FALSE,0
DEME,Delphinium menziesii,DEME-RST-HILLSCREEK-24,DEME-RST-3035/<2-G0-4419-HILLSCREEK-24,RST,Hills Creek,FALSE,TRUE,,0.084,1190.48,0.056,0.056,0,0.000185,,0.000123,0.000123,0,67,66,0,100,95,,,,64,Cascades,30-35/<2,24-10,24-Jul-24,Hills Creek,4419,43.79207,-122.72563,Willamette,,10/21/2024,add (store),0.056,,Hills Creek,FALSE,0
DEME,Delphinium menziesii,DEME-12-2018-1,DEME-RST-3035/<2-G0-Nestucca-18,RST,Nestucca,FALSE,TRUE,,0.12,833.33,1.89,1.89,0,0.000265,,0.004167,0.004167,0,1575,1574,0,,40,,,,630,,30-35/<2,,1-Jan-18,,780,,,Siuslaw,!imported; ,2018,add (store),1.89,,,FALSE,0
ELELE,Elymus elymoides ssp. elymoides,ELEL5-RST-OR97-22-1,ELEL5-RST-20-25/ 3-6-G0-4091-OR97-22-1,RST,HWY 97,FALSE,TRUE,,0.27,370.37,4.87,4.87,0,0.000595,,0.010737,0.010737,0,1804,1803,0,,40,,,,722,,20-25/3-6,,1-Jan-22,,4091,44.002387,-121.404465,Deschutes,!imported; ,2022,add (store),4.87,,,FALSE,0
ELGL,Elymus glaucus,NBS-CF0-ELK-2,ELGL-RST-30-35/<2-G1-DETROIT-18,RST,Detroit (RST),FALSE,TRUE,,,,48124,48124,0,,,106.095252,106.095252,0,,,,,,,,,,,25-30/<2,,1-Jan-18,,1250,,,Willamette,!imported; ,10/21/2024,strat/sow,-1816,,OR 20(1) Slide Repair,FALSE,0
ELGL,Elymus glaucus,ELGL-RST-MBS-23,ELGL-RST-2530/<2-G0-863-MBS-23,RST,MBS,FALSE,TRUE,,0.363,275.48,1162.13,1162.13,0,0.0008,,2.562058,2.562058,0,320144,320143,0,99,41,,,38.9,131259,North Cascades,25-30/<2,23-325,3-Sep-23,MBS,863,48.644556,-121.676657,Mt. Baker - Snoqualmie,,10/15/2024,add (store),1162.13,,MBS,TRUE,0
ELMU3,Elymus multisetus,ELMU3-RST-HCRHSTFEAST-21-1,ELMU3-RST-3035/36-G0-800-HCRHSTFEast-21-1,RST,HCRHST,FALSE,TRUE,,0.42,238.1,44.96,44.96,0,0.000926,,0.09912,0.09912,0,10705,10704,0,,69,,,,7386,,30-35/3-6,,1-Jan-21,,800,45.6772,-121.3193,,!imported; ,2021,add (store),44.96,,,FALSE,0
ERNA10,Ericameria nauseosa,FHWA-0111-27,ERNA10-01-675-01-100-48-Skyliner-11,RST,Skyliner,FALSE,TRUE,,0.04,2500,6.04,6.04,0,0.000088,,0.013316,0.013316,0,15100,15100,0,,90,,,,13590,,20-25/3-6,,1-Jan-11,,4800,,,Deschutes,!imported; ,2011,add (store),6.04,,,FALSE,0
ERSP7,Eriogonum sphaerocephalum,ERSP7-RST-KLAMATH-2019-1,ERSP7-RST-2025/ 3-6-G0-KLAMATHLK-4200-19,RST,Klamath Lake,FALSE,TRUE,,0.32,312.5,55.21,55.21,0,0.000705,,0.121717,0.121717,0,17253,17253,0,,47,,,,8109,,20-25/3-6,,1-Jan-19,,4200,,,Fremont,!imported; ,5/5/2024,import,-0.07,,,FALSE,0
ERUM,Eriogonum umbellatum,ERUM-RST-KLAMATHLAKE-19-1,ERUM-RST-2025/ 3-6-G0-4200-19,RST,Klamath Lake,FALSE,TRUE,,0.41,243.9,11.93,11.93,0,0.000904,,0.026301,0.026301,0,2910,2909,0,,77,,,,2241,,20-25/3-6,,1-Jan-19,,4200,,,Fremont,!imported; ,5/5/2024,import,-0.17,,,FALSE,0
ERLA6,Eriophyllum lanatum,0110-39,ERLA6-01-682-01-100-43-FALLRIVAIRS-10,RST,Skyliner,FALSE,TRUE,,0.04,2500,0,3.88,3.88,0.000088,,0,0.008554,0.008554,0,9700,9700,93,90,90,,,0,,20-25/2-3,,1-Jan-10,,4500,,,Deschutes,!imported from SS; ,5/5/2024,import,-0.2,,,FALSE,0
ERLA6,Eriophyllum lanatum,0108-16,ERLA1-01-682-01-100-42-JCT1810/200-08,RST,Skyliner,FALSE,TRUE,,0.037,2702.7,0,0.68,0.68,0.000082,,0,0.001499,0.001499,0,1837,1838,88,88,90,,,0,,20-25/2-3,,1-Jan-08,,4500,,,Deschutes,!imported from SS; ,5/5/2024,import,-0.23,,,FALSE,0
ERLA6,Eriophyllum lanatum,ERLA6-RST-MARYSPEAK-2020-1,ERLA6-RST-3035/<2GO-3800-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.1,1000,3.95,3.95,0,0.00022,,0.008708,0.008708,0,3950,3950,0,,44,,,,1738,,30-35/<2,,1-Jan-20,,1400,,,Siuslaw,!imported; ,2020,add (store),3.95,,,FALSE,0
ERLA6,Eriophyllum lanatum,ERLA6-18-2017-1,ERLA-RST-3035<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,,,0,21.26,21.26,,,0,0.04687,0.04687,,,,,,,,,,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,2017,add (store),21.26,,,FALSE,0
ERAS2,Erysimum asperum,0110-49,ERAS2-01-674-01-100-38-SKYVIEW-10,RST,Skyliner,FALSE,TRUE,,0.05,2000,0,2.96,2.96,0.00011,,0,0.006526,0.006526,0,5920,5920,,50,,,,0,,20-25/2-3,,1-Jan-10,,4500,,,Deschutes,!imported from SS; ,5/5/2024,import,-7.04,,,FALSE,0
ERAS2,Erysimum asperum,0110-41,ERAS2-01-682-01-100-42-RD23/SKVI-10,RST,Skyliner,FALSE,TRUE,,0.06,1666.67,0,5.05,5.05,0.000132,,0,0.011133,0.011133,0,8416,8417,96,90,94,,,0,,20-25/2-3,,1-Jan-10,,4500,,,Deschutes,!imported from SS; ,5/5/2024,import,0,,,FALSE,0
EROR4,Erythronium oregonum,EROR4/ERRE5-RST-MARYSPEAK-2020-1,EROR4/ERRE5-RST-3035/ <2-G0-3680-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.29,344.83,3.85,3.85,0,0.000639,,0.008488,0.008488,0,1328,1327,0,,73,,,,969,,30-35/<2,,1-Jan-20,,3680,44.511044,-123.550449,Siuslaw,!imported; ,2/18/2025,strat/sow,-2.82,,Mary's Peak,FALSE,0
EROR4,Erythronium oregonum,EROR4/ERRE5-RST-MARYSPEAK-2020-2,EROR4/ERRE5-RST-3035/ <2-G0-4000-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.47,212.77,1.18,1.18,0,0.001036,,0.002601,0.002601,0,251,251,0,,91,,,,228,,30-35/<2,,1-Jan-20,,4000,,,Siuslaw,!imported; ,2020,add (store),1.18,,,FALSE,0
EURA11,Eurybia radulina,EURA11-RST-HILLSCREEK-23,EURA11-RST-2530/<2-G0-3977-HILLSCREEK-23,RST,Hills Creek,FALSE,TRUE,,0.031,3225.81,0.043,0.043,0,0.000068,,0.000095,0.000095,0,139,138,0,99,56,,,,78,Cascades,25-30/<2,23-175,21-Sep-23,Tire mountain,3977,43.829017,-122.495667,,,10/22/2024,add (store),0.043,,Hills Creek,FALSE,0
FRCA12,Frangula californica,FRCA12-RST-RRS-21-1,FRCA12-RST-3035/2-3-G0-3570-RRS-21,RST,Unassigned - RST,FALSE,TRUE,,2.78,35.97,29.69,29.69,0,0.006129,,0.065455,0.065455,0,1068,1067,0,,95,,,,1015,,30-35/2-3,,1-Jan-21,,3570,,,Rogue River Siskiyou,!imported; ,2021,add (store),29.69,,,FALSE,0
FRPU7,Frangula purshiana,RHPU-18-2017-1,RHPU-RST-30-35/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,"[check no weights, no removals, no notes. Does this exist?] ",,,0,0,0,,,0,0,0,,,,,60,,,,,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,2017,add (store),0,,,FALSE,0
FRPU7,Frangula purshiana,RST-WIL16-14,FRPU7-RST-FS-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,3.31,30.21,19.09,19.09,0,0.007297,,0.042086,0.042086,0,577,576,0,,98,,,,565,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-33.165,,,FALSE,0
GASH,Gaultheria shallon,GASH-18-2018-1,GASH-RST-3035/<2-G0-SFMCKENZIE-18,RST,SF McKenzie,FALSE,TRUE,,0.01,10000,3.3,3.3,0,0.000022,,0.007275,0.007275,0,33000,33000,0,,,,,,,,30-35/<2,,1-Jan-18,,1200,44.163801,-122.27085,Willamette,!imported; ,5/5/2024,import,-0.18,,,FALSE,0
GASH,Gaultheria shallon,GASH-RST-CAPEMEARES-22-1,GASH-RST-3540/<2-G0-0065-CAPEMEARES-22,RST,Cape Meares,FALSE,TRUE,,0.01,10000,11.122,11.122,0,0.000022,,0.02452,0.02452,0,111220,111220,0,,51,,,,56722,,35-40/<2,,1-Jan-22,,65,,,Cape Meares,!imported; ,5/5/2024,import,-0.448,,,FALSE,0
GASH,Gaultheria shallon,RST-WIL16-11,GASH-RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.02,5000,1.78,1.78,0,0.000044,,0.003924,0.003924,0,8900,8900,0,,95,,,,8455,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,3/24/2025,strat/sow,-0.44,,OR 224,FALSE,0
GASH,Gaultheria shallon,GASH-RST-CAPEMEARES-19-1,GASH-RST-3540/<2-G0-0203-CAPEMEARES-19,RST,Cape Meares,FALSE,TRUE,,0.02,5000,24.29,24.29,0,0.000044,,0.05355,0.05355,0,121450,121450,0,,45,,,,54652,,35-40/<2,,1-Jan-19,,290,45.32492,-123.941556,Cape Meares,!imported; ,5/5/2024,import,-0.47,,,FALSE,0
GASH,Gaultheria shallon,GASH-18-2016-01,GASH-RST-3035<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.017,5882.35,0.054,0.19,0.136,0.000037,,0.000119,0.000419,0.0003,318,1117,800,,95,,,,302,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-0.29,,,FALSE,0
GASH,Gaultheria shallon,GASH-18-2017-2,GASH-RST-3035/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,0.01,10000,0.74,0.74,0,0.000022,,0.001631,0.001631,0,7400,7400,0,,,,,,,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,5/5/2024,import,-0.73,,,FALSE,0
GASH,Gaultheria shallon,GASH-18-2017-1,GASH-RST-3035<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,0.015,6666.67,2.56,2.56,0,0.000033,,0.005644,0.005644,0,17067,17066,0,,68,,,,11606,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,5/5/2024,import,-0.06,,,FALSE,0
GASH,Gaultheria shallon,GASH-RST-HILLSCRK-23-1,GASH-RST-3035/<2-G0-1500-HILLSCRK-23-1,RST,Hills Creek,FALSE,TRUE,,0.14,714.29,2.595,2.595,0,0.000309,,0.005721,0.005721,0,1854,1853,0,,40,,,,742,,30-35/<2,,1-Jan-23,,1501,43.690515,-122.446134,,!imported; ,2023,add (store),2.595,,,FALSE,0
GASH,Gaultheria shallon,GASH-RST-MEDFORD-21-1,GASH-RST-3035/<2-G0-2900-Medford-2021-1,RST,Unassigned - RST,FALSE,TRUE,,0.01,10000,2.88,2.88,0,0.000022,,0.006349,0.006349,0,28800,28800,0,,60,,,,17280,,30-35/<2,,1-Jan-21,,2900,,,Rogue River Siskiyou,!imported; ,5/5/2024,import,-0.05,,,FALSE,0
GASH,Gaultheria shallon,GASH-RST-HILLSCRK-2021-1,GASH-RST-3035/<2-G0-1520-HILLSCRK-2021-1,RST,Hills Creek,FALSE,TRUE,,0.01,10000,1.2,1.2,0,0.000022,,0.002646,0.002646,0,12000,12000,0,,50,,,,6000,,30-35/<2,,1-Jan-21,,1520,,,Willamette,!imported; ,5/5/2024,import,-0.29,,,FALSE,0
